1,0,170
2,170,230
3,400,335
4,735,435
5,1170,550
6,1720,660
7,2380,770
8,3150,885
9,4035,1000
10,5035,1115
11,6150,1230
12,7380,1355
13,8735,1470
14,10205,1590
15,11795,1715
16,13510,1835
17,15345,1955
18,17300,2080
19,19380,2205
20,21585,2330
21,23915,2455
22,26370,2580
23,28950,2705
24,31655,2835
25,34490,2960
26,37450,3090
27,40540,3220
28,43760,3345
29,47105,3475
30,50580,3610
31,54190,3735
32,57925,3865
33,61790,4000
34,65790,4130
35,69920,4260
36,74180,4390
37,78570,4530
38,83100,4655
39,87755,4795
40,92550,4925
41,97475,5060
42,102535,5195
43,107730,5330
44,113060,5460
45,118520,5600
46,124120,5735
47,129855,5870
48,135725,6005
49,141730,6145
50,147875,6275
51,154150,6420
52,160570,6550
53,167120,6690
54,173810,6830
55,180640,6965
56,187605,7105
57,194710,7245
58,201955,7380
59,209335,7520
60,216855,7660
61,224515,7800
62,232315,7940
63,240255,8080
64,248335,8215
65,256550,8360
66,264910,8500
67,273410,8640
68,282050,8780
69,290830,8920
70,299750,9065
71,308815,9205
72,318020,9345
73,327365,9490
74,336855,9630
75,346485,9775
76,356260,9915
77,366175,10055
78,376230,10205
79,386435,10340
80,396775,10490
81,407265,10630
82,417895,10775
83,428670,10915
84,439585,11065
85,450650,11205
86,461855,11350
87,473205,11495
88,484700,11635
89,496335,11785
90,508120,
