1,2ÐÇ,200,220,240,260
2,,211,232,253,274
3,,222,244,266,288
4,,233,256,279,302
5,,244,268,292,316
6,,255,280,305,330
7,,266,292,318,344
8,,277,304,331,358
9,,288,316,344,372
10,,299,328,357,386
11,,310,340,370,400
12,,321,352,383,414
13,,332,364,396,428
14,,343,376,409,442
15,,354,388,422,456
16,,365,400,435,470
17,,376,412,448,484
18,,387,424,461,498
19,,398,436,474,512
20,,409,448,487,526
21,,420,460,500,540
22,,431,472,513,554
23,,442,484,526,568
24,,453,496,539,582
25,,464,508,552,596
26,3ÐÇ,,525,570,615
27,,,542,588,634
28,,,559,606,653
29,,,576,624,672
30,,,593,642,691
31,4ÐÇ,,,666,716
32,,,,690,741
33,,,,714,766
34,,,,738,791
35,,,,762,816
36,,,,786,841
37,,,,810,866
38,,,,834,891
39,,,,858,916
40,,,,882,941
41,,,,906,966
42,,,,930,991
43,,,,954,1016
44,,,,978,1041
45,,,,1002,1066
46,,,,1026,1091
47,,,,1050,1116
48,,,,1074,1141
49,,,,1098,1166
50,,,,1122,1191
51,,,,1146,1216
52,,,,1170,1241
53,,,,1194,1266
54,,,,1218,1291
55,,,,1242,1316
56,,,,1266,1341
57,,,,1290,1366
58,,,,1314,1391
59,,,,1338,1416
60,,,,1362,1441
61,4ÐÇ+1,,,1398,1478
62,,,,1434,1515
63,,,,1470,1552
64,,,,1506,1589
65,,,,1542,1626
66,4ÐÇ+2,,,1580,1665
67,,,,1618,1704
68,,,,1656,1743
69,,,,1694,1782
70,,,,1732,1821
71,4ÐÇ+3,,,1772,1862
72,,,,1812,1903
73,,,,1852,1944
74,,,,1892,1985
75,,,,1932,2026
76,5ÐÇ+1,,,,2086
77,,,,,2146
78,,,,,2206
79,,,,,2266
80,,,,,2326
81,5ÐÇ+2,,,,2389
82,,,,,2452
83,,,,,2515
84,,,,,2578
85,,,,,2641
86,5ÐÇ+3,,,,2708
87,,,,,2775
88,,,,,2842
89,,,,,2909
90,,,,,2976
