1,2ÐÇ,126,140,154,168
2,,132,146,160,176
3,,138,154,168,184
4,,144,160,176,192
5,,150,168,184,200
6,,156,174,192,210
7,,162,182,200,218
8,,170,188,206,226
9,,176,196,214,234
10,,182,202,222,242
11,,188,210,230,252
12,,194,216,238,260
13,,200,224,246,268
14,,206,230,254,276
15,,214,238,260,284
16,,220,244,268,294
17,,226,252,276,302
18,,232,258,284,310
19,,238,266,292,318
20,,244,272,300,326
21,,252,280,308,336
22,,258,286,314,344
23,,264,294,322,352
24,,270,300,330,360
25,,276,308,338,368
26,3ÐÇ,,318,350,380
27,,,328,360,392
28,,,338,372,404
29,,,350,382,416
30,,,360,394,428
31,4ÐÇ,,,410,444
32,,,,424,460
33,,,,440,476
34,,,,456,492
35,,,,470,508
36,,,,486,524
37,,,,502,540
38,,,,518,556
39,,,,532,574
40,,,,548,590
41,,,,564,606
42,,,,578,622
43,,,,594,638
44,,,,610,654
45,,,,624,670
46,,,,640,686
47,,,,656,702
48,,,,672,718
49,,,,686,734
50,,,,702,750
51,,,,718,766
52,,,,732,782
53,,,,748,798
54,,,,764,814
55,,,,778,830
56,,,,794,846
57,,,,810,862
58,,,,826,878
59,,,,840,896
60,,,,856,912
61,4ÐÇ+1,,,880,936
62,,,,904,960
63,,,,928,984
64,,,,952,1010
65,,,,974,1034
66,4ÐÇ+2,,,1000,1060
67,,,,1026,1086
68,,,,1050,1112
69,,,,1076,1138
70,,,,1100,1164
71,4ÐÇ+3,,,1128,1190
72,,,,1154,1218
73,,,,1180,1246
74,,,,1208,1272
75,,,,1234,1300
76,5ÐÇ+1,,,,1340
77,,,,,1380
78,,,,,1422
79,,,,,1462
80,,,,,1502
81,5ÐÇ+2,,,,1546
82,,,,,1588
83,,,,,1630
84,,,,,1674
85,,,,,1716
86,5ÐÇ+3,,,,1762
87,,,,,1808
88,,,,,1852
89,,,,,1898
90,,,,,1944
